dataset,check,status,detail
blood,semantic_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
blood,semantic_scores_in_unit_interval,PASS,"scores must be in [0, 1]"
cultivars,main_results_exists,PASS,results\tables\cultivars_main_results.csv
cultivars,selected_features_exists,PASS,results\selected_features\cultivars_selected_features.csv
cultivars,semantic_scores_exists,PASS,results\tables\cultivars_semantic_scores.csv
cultivars,main_required_columns,PASS,missing=[]
cultivars,main_methods,PASS,"methods=['LASFS', 'LLM-only', 'TFS-LASSO', 'TFS-LogReg', 'TFS-RF']"
cultivars,main_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
cultivars,main_no_null_metrics,PASS,nulls={}
cultivars,main_row_count,PASS,expected=25; actual=25
cultivars,selected_required_columns,PASS,missing=[]
cultivars,selected_methods,PASS,"methods=['LASFS', 'LLM-only', 'TFS-LASSO', 'TFS-LogReg', 'TFS-RF']"
cultivars,selected_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
cultivars,semantic_required_columns,PASS,missing=[]
cultivars,semantic_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
cultivars,semantic_scores_in_unit_interval,PASS,"scores must be in [0, 1]"
diabetes,main_results_exists,PASS,results\tables\diabetes_main_results.csv
diabetes,selected_features_exists,PASS,results\selected_features\diabetes_selected_features.csv
diabetes,semantic_scores_exists,PASS,results\tables\diabetes_semantic_scores.csv
diabetes,main_required_columns,PASS,missing=[]
diabetes,main_methods,PASS,"methods=['LASFS', 'LLM-only', 'TFS-LASSO', 'TFS-LogReg', 'TFS-RF']"
diabetes,main_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
diabetes,main_no_null_metrics,PASS,nulls={}
diabetes,main_row_count,PASS,expected=25; actual=25
diabetes,selected_required_columns,PASS,missing=[]
diabetes,selected_methods,PASS,"methods=['LASFS', 'LLM-only', 'TFS-LASSO', 'TFS-LogReg', 'TFS-RF']"
diabetes,selected_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
diabetes,semantic_required_columns,PASS,missing=[]
diabetes,semantic_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
diabetes,semantic_scores_in_unit_interval,PASS,"scores must be in [0, 1]"
german_credit,main_results_exists,PASS,results\tables\german_credit_main_results.csv
german_credit,selected_features_exists,PASS,results\selected_features\german_credit_selected_features.csv
german_credit,semantic_scores_exists,PASS,results\tables\german_credit_semantic_scores.csv
german_credit,main_required_columns,PASS,missing=[]
german_credit,main_methods,PASS,"methods=['LASFS', 'LLM-only', 'TFS-LASSO', 'TFS-LogReg', 'TFS-RF']"
german_credit,main_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
german_credit,main_no_null_metrics,PASS,nulls={}
german_credit,main_row_count,PASS,expected=25; actual=25
german_credit,selected_required_columns,PASS,missing=[]
german_credit,selected_methods,PASS,"methods=['LASFS', 'LLM-only', 'TFS-LASSO', 'TFS-LogReg', 'TFS-RF']"
german_credit,selected_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
german_credit,semantic_required_columns,PASS,missing=[]
german_credit,semantic_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
german_credit,semantic_scores_in_unit_interval,PASS,"scores must be in [0, 1]"
heart,main_results_exists,PASS,results\tables\heart_main_results.csv
heart,selected_features_exists,PASS,results\selected_features\heart_selected_features.csv
heart,semantic_scores_exists,PASS,results\tables\heart_semantic_scores.csv
heart,main_required_columns,PASS,missing=[]
heart,main_methods,PASS,"methods=['LASFS', 'LLM-only', 'TFS-LASSO', 'TFS-LogReg', 'TFS-RF']"
heart,main_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
heart,main_no_null_metrics,PASS,nulls={}
heart,main_row_count,PASS,expected=25; actual=25
heart,selected_required_columns,PASS,missing=[]
heart,selected_methods,PASS,"methods=['LASFS', 'LLM-only', 'TFS-LASSO', 'TFS-LogReg', 'TFS-RF']"
heart,selected_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
heart,semantic_required_columns,PASS,missing=[]
heart,semantic_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
heart,semantic_scores_in_unit_interval,PASS,"scores must be in [0, 1]"
telco_churn,main_results_exists,PASS,results\tables\telco_churn_main_results.csv
telco_churn,selected_features_exists,PASS,results\selected_features\telco_churn_selected_features.csv
telco_churn,semantic_scores_exists,PASS,results\tables\telco_churn_semantic_scores.csv
telco_churn,main_required_columns,PASS,missing=[]
telco_churn,main_methods,PASS,"methods=['LASFS', 'LLM-only', 'TFS-LASSO', 'TFS-LogReg', 'TFS-RF']"
telco_churn,main_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
telco_churn,main_no_null_metrics,PASS,nulls={}
telco_churn,main_row_count,PASS,expected=25; actual=25
telco_churn,selected_required_columns,PASS,missing=[]
telco_churn,selected_methods,PASS,"methods=['LASFS', 'LLM-only', 'TFS-LASSO', 'TFS-LogReg', 'TFS-RF']"
telco_churn,selected_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
telco_churn,semantic_required_columns,PASS,missing=[]
telco_churn,semantic_seed_count,PASS,"seeds=[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
telco_churn,semantic_scores_in_unit_interval,PASS,"scores must be in [0, 1]"
