V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,final_outcome_flag,post_decision_status,risk_review_code,confirmed_result_code,case_resolution_type,followup_action_group,outcome_verification_score,workflow_bucket_id,service_path_code,review_priority_index,Class
57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,0,pending,route_c,type_1,group_n,B07,1.0,route_c,type_4,0.0,1
49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown,0,pending,route_c,type_1,group_n,B07,0.20961679666108637,route_c,type_1,0.0,1
60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,0.003609217281386157,1
59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.8833180931782103,route_c,type_4,0.0028618920955798288,1
51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.0,1
57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_4,0.020703176683038563,1
25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,365,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,1.0,route_c,type_1,1.0,1
53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,0.39924197493128655,1
36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.0,1
37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,0,pending,route_c,type_4,group_n,A12,0.07202148187771708,route_f,type_1,0.0004757914648617848,1
44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,0.8654815082741596,1
50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.07862622733363299,route_c,type_1,0.0,1
60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.2552087342268309,route_f,type_1,0.10903019182439694,1
54,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.09676595250897833,route_f,type_1,0.0,1
58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.050503251889689064,route_c,type_1,0.8070866867080698,1
36,admin.,single,primary,no,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_4,0.10209566641239884,1
58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.15495369349722798,route_f,type_1,1.0,1
44,technician,married,secondary,no,0,yes,no,unknown,5,may,225,2,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.9082118856940787,route_f,type_1,0.14515826900765905,1
55,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,-1,0,unknown,0,pending,route_c,type_1,group_x,B07,0.0,route_c,type_1,0.0,1
29,management,single,tertiary,no,0,yes,no,unknown,5,may,363,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.9044599341478261,1
54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.06846422662231574,route_f,type_4,0.0,1
48,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,253,1,-1,0,unknown,1,pending,route_c,type_1,group_n,A12,1.0,route_c,type_1,0.2885395165840335,1
32,management,married,tertiary,no,0,yes,no,unknown,5,may,179,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.02386498630945221,route_c,type_4,0.0,1
42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.13575609805583494,route_c,type_1,0.869002662708936,1
24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.039099786512587935,route_c,type_1,0.0,1
38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,174,1,-1,0,unknown,0,pending,route_c,type_1,group_n,B07,0.0,route_c,type_4,0.0,1
38,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,1.0,1
47,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,13,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.12884522246214475,route_c,type_1,0.0,1
40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,0,pending,route_c,type_1,group_x,A12,0.0,route_f,type_1,0.0,1
46,services,married,primary,no,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,0,pending,route_c,type_4,group_n,A12,0.0,route_c,type_1,1.0,1
32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,138,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.11267757073850496,route_c,type_1,0.0,1
53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,812,1,-1,0,unknown,0,pending,route_c,type_4,group_n,A12,0.14898387799197377,route_f,type_1,1.0,1
57,blue-collar,married,primary,no,249,yes,no,unknown,5,may,164,1,-1,0,unknown,0,pending,route_c,type_1,group_n,B07,0.0,route_c,type_4,0.22334293601684774,1
33,services,married,secondary,no,790,yes,no,unknown,5,may,391,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0640215353296023,route_c,type_1,0.0,1
49,blue-collar,married,unknown,no,154,yes,no,unknown,5,may,357,1,-1,0,unknown,0,pending,route_c,type_4,group_n,A12,0.955777797260747,route_c,type_4,0.8226537132427755,1
51,management,married,tertiary,no,6530,yes,no,unknown,5,may,91,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.15106184199033248,route_f,type_4,0.29826576606101785,1
60,retired,married,tertiary,no,100,no,no,unknown,5,may,528,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.23937441995068354,1
59,management,divorced,tertiary,no,59,yes,no,unknown,5,may,273,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.0,1
55,technician,married,secondary,no,1205,yes,no,unknown,5,may,158,2,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.1268744063890601,route_c,type_1,1.0,1
35,blue-collar,single,secondary,no,12223,yes,yes,unknown,5,may,177,1,-1,0,unknown,0,pending,route_f,type_1,group_n,A12,0.10444836047388202,route_c,type_1,0.10649877341833144,1
57,blue-collar,married,secondary,no,5935,yes,yes,unknown,5,may,258,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.18933160848549427,1
31,services,married,secondary,no,25,yes,yes,unknown,5,may,172,1,-1,0,unknown,0,pending,route_c,type_4,group_n,A12,1.0,route_c,type_1,0.0,1
54,management,married,secondary,no,282,yes,yes,unknown,5,may,154,1,-1,0,unknown,0,pending,route_c,type_1,group_x,A12,0.28687977124354164,route_c,type_4,0.8356227495457427,1
55,blue-collar,married,primary,no,23,yes,no,unknown,5,may,291,1,-1,0,unknown,0,pending,route_c,type_1,group_x,A12,0.22712565343940627,route_f,type_4,0.0,1
43,technician,married,secondary,no,1937,yes,no,unknown,5,may,181,1,-1,0,unknown,0,pending,route_c,type_4,group_x,A12,0.0,route_f,type_1,1.0,1
53,technician,married,secondary,no,384,yes,no,unknown,5,may,176,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.13163471520741588,route_c,type_4,0.26864987173483373,1
44,blue-collar,married,secondary,no,582,no,yes,unknown,5,may,211,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.06918941821031348,route_c,type_4,0.0,1
55,services,divorced,secondary,no,91,no,no,unknown,5,may,349,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_4,0.016969583665850246,1
49,services,divorced,secondary,no,0,yes,yes,unknown,5,may,272,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_4,0.9125133294791266,1
55,services,divorced,secondary,yes,1,yes,no,unknown,5,may,208,1,-1,0,unknown,0,pending,route_c,type_4,group_n,A12,0.16492506466552365,route_c,type_1,0.2555656100928327,1
45,admin.,single,secondary,no,206,yes,no,unknown,5,may,193,1,-1,0,unknown,0,pending,route_c,type_1,group_x,A12,0.09525357708625176,route_c,type_4,0.39233581848241816,1
47,services,divorced,secondary,no,164,no,no,unknown,5,may,212,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,0.1251469346475242,1
42,technician,single,secondary,no,690,yes,no,unknown,5,may,20,1,-1,0,unknown,0,pending,route_c,type_4,group_n,B07,0.0,route_c,type_1,0.0,1
59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,1,closed,route_f,type_1,group_x,B07,0.9121317253786404,route_f,type_1,0.030915364262277773,2
46,self-employed,married,tertiary,no,137,yes,yes,unknown,5,may,246,1,-1,0,unknown,0,pending,route_c,type_4,group_n,A12,0.0,route_c,type_1,0.0,1
51,blue-collar,married,primary,no,173,yes,no,unknown,5,may,529,2,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.0,1
56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,-1,0,unknown,1,closed,route_f,type_4,group_x,A12,1.0,route_f,type_4,0.9816610700086885,2
41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,1,closed,route_f,type_1,group_x,B07,1.0,route_f,type_4,0.9061443540722485,2
46,management,divorced,secondary,no,16,yes,yes,unknown,5,may,188,2,-1,0,unknown,0,pending,route_c,type_1,group_x,A12,0.08965395521932705,route_f,type_1,0.9142182270018494,1
57,retired,married,secondary,no,486,yes,no,unknown,5,may,180,2,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.19542637023473378,route_c,type_4,1.0,1
42,management,single,secondary,no,50,no,no,unknown,5,may,48,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,1.0,route_f,type_1,0.0,1
30,technician,married,secondary,no,152,yes,yes,unknown,5,may,213,2,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.13694077774390404,route_c,type_4,0.0,1
60,admin.,married,secondary,no,290,yes,no,unknown,5,may,583,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.7980319729934184,1
60,blue-collar,married,unknown,no,54,yes,no,unknown,5,may,221,1,-1,0,unknown,0,pending,route_c,type_4,group_n,A12,0.914148482637632,route_c,type_1,0.21050527711277603,1
57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5,may,173,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,1.0,route_c,type_4,0.9896224697505653,1
36,management,married,tertiary,no,101,yes,yes,unknown,5,may,426,1,-1,0,unknown,0,pending,route_c,type_1,group_n,B07,0.0,route_f,type_4,0.9136810919670592,1
55,blue-collar,married,secondary,no,383,no,no,unknown,5,may,287,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.8775458007653342,route_c,type_1,0.023895457429646227,1
60,retired,married,tertiary,no,81,yes,no,unknown,5,may,101,1,-1,0,unknown,0,pending,route_c,type_1,group_x,A12,0.0,route_f,type_1,0.09681661321078465,1
39,technician,married,secondary,no,0,yes,no,unknown,5,may,203,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.09713485939090424,route_c,type_4,0.1454587674162032,1
46,management,married,tertiary,no,229,yes,no,unknown,5,may,197,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.7361723915831663,1
44,blue-collar,married,secondary,no,-674,yes,no,unknown,5,may,257,1,-1,0,unknown,0,pending,route_c,type_1,group_x,A12,0.0,route_f,type_1,0.0,1
53,blue-collar,married,primary,no,90,no,no,unknown,5,may,124,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.0,1
52,blue-collar,married,primary,no,128,yes,no,unknown,5,may,229,1,-1,0,unknown,0,pending,route_f,type_1,group_n,A12,0.09812669985790534,route_f,type_1,0.0,1
59,blue-collar,married,primary,no,179,yes,no,unknown,5,may,55,3,-1,0,unknown,0,pending,route_c,type_1,group_x,A12,0.7974233899123832,route_f,type_1,0.03880905627350185,1
27,technician,single,tertiary,no,0,yes,no,unknown,5,may,400,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.14914172569654952,route_c,type_4,0.8685233135533479,1
44,blue-collar,married,secondary,no,54,yes,no,unknown,5,may,197,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,1.0,1
47,technician,married,tertiary,no,151,yes,no,unknown,5,may,190,1,-1,0,unknown,0,pending,route_c,type_1,group_x,A12,1.0,route_c,type_1,0.0,1
34,admin.,married,secondary,no,61,no,yes,unknown,5,may,21,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.12986899551721917,1
59,retired,single,secondary,no,30,yes,no,unknown,5,may,514,1,-1,0,unknown,0,pending,route_c,type_4,group_n,A12,1.0,route_c,type_4,0.0,1
45,management,married,tertiary,no,523,yes,no,unknown,5,may,849,2,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.8555423401940423,1
29,services,divorced,secondary,no,31,yes,no,unknown,5,may,194,1,-1,0,unknown,0,pending,route_f,type_1,group_n,B07,0.0,route_c,type_1,0.0,1
46,technician,divorced,secondary,no,79,no,no,unknown,5,may,144,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.8628501956821579,route_f,type_4,0.3150400617671239,1
56,self-employed,married,primary,no,-34,yes,yes,unknown,5,may,212,2,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.06208794294947255,route_f,type_1,0.4510972875463424,1
36,blue-collar,married,primary,no,448,yes,no,unknown,5,may,286,1,-1,0,unknown,0,pending,route_c,type_1,group_x,A12,0.0,route_c,type_1,0.7965860412447009,1
59,retired,divorced,primary,no,81,yes,no,unknown,5,may,107,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,1.0,route_c,type_1,0.1474846682001255,1
44,blue-collar,married,secondary,no,144,yes,no,unknown,5,may,247,2,-1,0,unknown,0,pending,route_c,type_4,group_n,A12,0.09764217108486968,route_f,type_1,0.12356868101203454,1
41,admin.,married,secondary,no,351,yes,no,unknown,5,may,518,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.9784033749181033,route_c,type_1,0.24273078348558447,1
33,management,single,tertiary,no,-67,yes,no,unknown,5,may,364,1,-1,0,unknown,0,pending,route_c,type_4,group_n,A12,0.0,route_f,type_4,0.0,1
59,management,divorced,tertiary,no,262,no,no,unknown,5,may,178,1,-1,0,unknown,0,pending,route_c,type_1,group_x,A12,0.0,route_f,type_1,1.0,1
57,technician,married,primary,no,0,no,no,unknown,5,may,98,1,-1,0,unknown,0,pending,route_c,type_1,group_n,B07,0.17865233083069074,route_c,type_1,0.0,1
56,technician,divorced,unknown,no,56,yes,no,unknown,5,may,439,1,-1,0,unknown,0,pending,route_c,type_1,group_x,A12,0.0,route_f,type_4,0.0,1
51,blue-collar,married,secondary,no,26,yes,no,unknown,5,may,79,1,-1,0,unknown,0,pending,route_c,type_1,group_x,A12,0.1376657074894459,route_c,type_1,0.9973363613411639,1
34,admin.,married,unknown,no,3,yes,no,unknown,5,may,120,3,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0229492680233446,route_c,type_4,0.8836422459226655,1
43,services,married,secondary,no,41,yes,yes,unknown,5,may,127,2,-1,0,unknown,0,pending,route_c,type_1,group_n,B07,0.2366918299360334,route_c,type_1,0.19378834136974787,1
52,technician,married,tertiary,no,7,no,yes,unknown,5,may,175,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.9534593837183094,route_f,type_4,0.0,1
33,technician,single,secondary,no,105,yes,no,unknown,5,may,262,2,-1,0,unknown,0,pending,route_c,type_1,group_n,B07,0.009742911620091811,route_c,type_4,0.0,1
29,admin.,single,secondary,no,818,yes,yes,unknown,5,may,61,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.17881450607024493,route_f,type_1,0.006359937159875859,1
34,services,married,secondary,no,-16,yes,yes,unknown,5,may,78,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.0,1
31,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,143,1,-1,0,unknown,0,closed,route_c,type_1,group_n,A12,0.07398105538590817,route_c,type_1,0.05660780203093804,1
55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,1,closed,route_f,type_4,group_x,A12,0.08883739124026624,route_f,type_4,0.7214428256456162,2
55,management,married,unknown,no,1185,no,no,unknown,5,may,677,1,-1,0,unknown,0,pending,route_c,type_4,group_x,A12,0.02847675037469934,route_c,type_4,1.0,1
32,admin.,single,secondary,no,217,yes,no,unknown,5,may,345,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.9436078869370403,route_c,type_4,0.9698194147743355,1
38,technician,single,secondary,no,1685,yes,no,unknown,5,may,185,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,1.0,route_f,type_1,0.2263130247932637,1
55,admin.,single,secondary,no,802,yes,yes,unknown,5,may,100,2,-1,0,unknown,0,pending,route_c,type_1,group_n,B07,0.03245952838376748,route_c,type_1,0.0,1
28,unemployed,single,tertiary,no,0,yes,no,unknown,5,may,125,2,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.17458249331969297,route_c,type_1,1.0,1
23,blue-collar,married,secondary,no,94,yes,no,unknown,5,may,193,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.0,1
32,technician,single,secondary,no,0,yes,no,unknown,5,may,136,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.2358514888351526,route_c,type_1,0.0,1
43,services,single,unknown,no,0,no,no,unknown,5,may,73,1,-1,0,unknown,0,pending,route_c,type_1,group_x,B07,0.9326321776823933,route_c,type_1,0.2841231403557702,1
32,blue-collar,married,secondary,no,517,yes,no,unknown,5,may,528,1,-1,0,unknown,0,pending,route_c,type_1,group_x,A12,0.0,route_f,type_4,0.6869474368415909,1
46,blue-collar,married,secondary,no,265,yes,no,unknown,5,may,541,1,-1,0,unknown,0,pending,route_c,type_1,group_x,A12,0.10230063563370528,route_c,type_4,0.0,1
53,housemaid,divorced,primary,no,947,yes,no,unknown,5,may,163,1,-1,0,unknown,0,pending,route_c,type_1,group_x,B07,0.7478343657537512,route_c,type_4,1.0,1
34,self-employed,single,secondary,no,3,yes,no,unknown,5,may,301,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,0.3173750482426673,1
57,unemployed,married,tertiary,no,42,no,no,unknown,5,may,46,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.06218020303284861,route_f,type_4,0.0,1
37,blue-collar,married,secondary,no,37,yes,no,unknown,5,may,204,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_4,0.8461624559603513,1
59,blue-collar,married,secondary,no,57,yes,no,unknown,5,may,98,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.17760469263827375,1
33,services,married,secondary,no,22,yes,no,unknown,5,may,71,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.036010242970314986,route_c,type_4,1.0,1
56,blue-collar,divorced,primary,no,8,yes,no,unknown,5,may,157,2,-1,0,unknown,0,pending,route_c,type_4,group_n,A12,0.9616358626875063,route_c,type_1,1.0,1
48,unemployed,married,secondary,no,293,yes,no,unknown,5,may,243,1,-1,0,unknown,0,pending,route_c,type_4,group_n,A12,1.0,route_c,type_1,0.0,1
43,services,married,primary,no,3,yes,no,unknown,5,may,186,2,-1,0,unknown,0,pending,route_c,type_4,group_n,A12,0.07962880742028819,route_f,type_4,0.0419384950364778,1
54,blue-collar,married,primary,no,348,yes,no,unknown,5,may,579,2,-1,0,unknown,0,pending,route_c,type_4,group_x,A12,0.9623200862679367,route_c,type_1,0.26115961859973646,1
51,blue-collar,married,unknown,no,-19,yes,no,unknown,5,may,163,2,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_4,1.0,1
26,student,single,secondary,no,0,yes,no,unknown,5,may,610,2,-1,0,unknown,0,pending,route_c,type_4,group_n,A12,0.9503365294397579,route_f,type_1,0.901479275218038,1
40,management,married,tertiary,no,-4,yes,no,unknown,5,may,2033,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,1.0,1
39,management,married,secondary,no,18,yes,no,unknown,5,may,85,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,0.1464000147046445,1
50,technician,married,primary,no,139,no,no,unknown,5,may,114,2,-1,0,unknown,0,closed,route_c,type_4,group_n,A12,0.0,route_c,type_1,0.982964415778029,1
41,services,married,secondary,no,0,yes,no,unknown,5,may,114,2,-1,0,unknown,0,pending,route_c,type_1,group_x,A12,0.057496214831580336,route_c,type_1,1.0,1
51,blue-collar,married,unknown,no,1883,yes,no,unknown,5,may,57,1,-1,0,unknown,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_4,0.0,1
60,retired,divorced,secondary,no,216,yes,no,unknown,5,may,238,1,-1,0,unknown,0,closed,route_c,type_4,group_n,A12,0.0,route_c,type_1,0.8602876671017126,1
52,blue-collar,married,secondary,no,782,yes,no,unknown,5,may,93,3,-1,0,unknown,0,pending,route_c,type_1,group_x,A12,0.0,route_c,type_4,1.0,1
48,blue-collar,married,secondary,no,904,yes,no,unknown,5,may,128,2,-1,0,unknown,0,pending,route_c,type_1,group_n,B07,0.048415416790824124,route_f,type_1,0.2740210664717454,1
