Season,Cultivar,Repetition,PH,IFP,NLP,NGP,NGL,NS,MHG,final_outcome_flag,post_decision_status,risk_review_code,yield_class
1,BRASMAX OLIMPO IPRO,4,87.4,24.47,67.8,174.8,2.17,5.53,180.0,0,negative_final,A12,high
1,LYNDA IPRO,1,55.8,13.6,44.4,88.2,1.99,2.8,196.27,0,negative_final,B07,high
1,LYNDA IPRO,2,60.6,15.2,59.0,126.6,2.15,3.0,180.87,0,negative_final,B07,high
1,LYNDA IPRO,3,64.4,25.4,55.4,137.2,2.48,3.0,200.67,0,negative_final,B07,high
1,LYNDA IPRO,4,60.27,18.07,52.93,117.33,2.2,2.93,201.77,0,negative_final,A12,high
1,NK 8100 IPRO,1,84.2,16.8,80.6,200.8,2.49,6.8,194.62,1,positive_final,B07,low
1,NK 8100 IPRO,2,83.6,17.4,56.4,122.4,2.17,5.4,196.67,1,positive_final,C31,low
1,NK 8100 IPRO,3,74.0,19.0,73.4,186.2,2.54,5.8,194.11,1,positive_final,A12,low
1,NK 8100 IPRO,4,80.6,17.73,70.13,169.8,2.4,6.0,193.43,1,positive_final,C31,low
1,82HO111 IPRO - HO COXIM IPRO,1,50.4,17.0,78.8,189.8,2.41,6.6,194.03,0,negative_final,B07,high
1,82HO111 IPRO - HO COXIM IPRO,2,63.2,14.2,67.2,176.4,2.63,6.0,185.96,1,positive_final,C31,low
1,82HO111 IPRO - HO COXIM IPRO,3,55.4,14.0,81.8,197.6,2.42,6.2,186.6,1,positive_final,B07,low
1,82HO111 IPRO - HO COXIM IPRO,4,56.33,15.07,75.93,187.93,2.48,6.27,193.8,1,positive_final,B07,low
1,83IX84RSF I2X,1,69.4,15.2,103.8,219.2,2.11,5.6,146.16,0,negative_final,B07,high
1,83IX84RSF I2X,2,79.0,18.2,87.2,208.0,2.39,6.6,148.48,0,negative_final,A12,high
1,83IX84RSF I2X,3,67.2,14.6,102.4,203.2,1.98,5.6,151.95,0,negative_final,B07,high
1,83IX84RSF I2X,4,71.87,16.0,97.8,210.13,2.16,5.93,145.72,1,negative_final,B07,high
1,ADAPTA LTT 8402 IPRO,1,54.4,15.8,55.0,128.8,2.34,5.8,158.46,0,negative_final,B07,high
1,ADAPTA LTT 8402 IPRO,2,58.6,16.4,54.8,132.8,2.42,5.0,149.77,0,negative_final,A12,high
1,ADAPTA LTT 8402 IPRO,3,60.0,21.2,60.6,106.2,1.75,5.4,161.6,0,negative_final,B07,high
1,ADAPTA LTT 8402 IPRO,4,57.67,17.8,56.8,122.6,2.17,5.4,172.2,0,negative_final,A12,high
1,98R30 CE,1,78.6,17.6,58.6,138.8,2.37,6.6,169.78,0,negative_final,B07,high
1,98R30 CE,2,73.4,17.0,74.8,183.2,2.45,6.6,160.08,0,negative_final,A12,high
1,98R30 CE,3,71.0,18.0,58.6,143.6,2.45,6.6,176.58,0,negative_final,A12,high
1,98R30 CE,4,74.33,17.53,64.0,155.2,2.42,6.6,173.59,0,negative_final,B07,high
1,FORTALEZA IPRO,1,78.4,16.2,89.8,257.0,2.86,7.0,127.06,0,negative_final,B07,high
1,FORTALEZA IPRO,2,74.8,18.4,44.0,115.6,2.63,5.2,131.94,0,negative_final,B07,high
1,FORTALEZA IPRO,3,73.6,16.6,91.2,236.8,2.6,6.6,130.64,0,negative_final,A12,high
1,FORTALEZA IPRO,4,75.6,17.07,75.0,203.13,2.7,6.27,134.95,0,negative_final,B07,high
1,MONSOY 8330I2X,1,63.4,14.6,54.6,139.0,2.55,4.2,144.29,0,negative_final,B07,high
1,MONSOY 8330I2X,2,73.6,19.4,30.0,142.6,4.75,5.0,147.81,0,negative_final,B07,high
1,MONSOY 8330I2X,3,70.8,18.0,64.8,159.4,2.46,4.2,151.42,0,negative_final,B07,high
1,MONSOY 8330I2X,4,69.27,17.33,49.8,147.0,3.25,4.47,153.51,0,negative_final,A12,high
1,SUZY IPRO,1,62.2,15.4,116.4,253.6,2.18,5.6,143.3,1,negative_final,A12,high
1,SUZY IPRO,2,70.4,12.6,73.0,176.0,2.41,5.6,149.02,0,negative_final,B07,high
1,SUZY IPRO,3,71.6,16.6,93.4,232.0,2.48,5.8,142.17,0,negative_final,B07,high
1,SUZY IPRO,4,68.07,14.87,94.27,220.53,2.36,5.67,141.64,0,negative_final,A12,high
1,TMG 22X83I2X,1,65.8,16.6,39.8,89.6,2.25,4.0,167.45,0,negative_final,A12,high
1,TMG 22X83I2X,2,77.8,16.0,39.4,92.4,2.35,3.8,178.33,0,negative_final,B07,high
1,TMG 22X83I2X,3,63.8,16.0,33.2,79.2,2.39,3.4,180.34,0,positive_final,B07,high
1,TMG 22X83I2X,4,69.13,16.2,37.47,87.07,2.33,3.73,177.98,0,negative_final,A12,high
1,EXPANDE LTT 8301 IPRO,1,66.6,19.2,32.4,78.8,2.43,4.6,159.05,1,positive_final,C31,low
1,EXPANDE LTT 8301 IPRO,2,65.8,16.0,33.4,84.8,2.54,4.4,166.83,1,positive_final,C31,low
1,EXPANDE LTT 8301 IPRO,3,66.8,18.2,37.0,85.4,2.31,3.6,172.32,1,positive_final,B07,low
1,EXPANDE LTT 8301 IPRO,4,66.4,17.8,34.27,83.0,2.43,4.2,178.41,0,negative_final,A12,high
1,FORTALECE L090183 RR,1,75.2,18.0,31.2,78.8,2.53,3.2,146.09,0,negative_final,B07,high
1,FORTALECE L090183 RR,2,68.8,18.6,41.6,100.8,2.42,3.0,155.29,0,negative_final,A12,high
1,FORTALECE L090183 RR,3,71.0,16.4,67.8,166.4,2.45,3.8,152.79,0,negative_final,B07,high
1,FORTALECE L090183 RR,4,71.67,17.67,46.87,115.33,2.47,3.33,149.71,0,negative_final,A12,high
1,96R29 IPRO,1,70.8,17.4,55.0,132.2,2.4,4.8,152.31,0,positive_final,C31,low
1,96R29 IPRO,2,74.6,16.6,40.8,100.4,2.46,3.8,155.66,1,positive_final,A12,low
1,96R29 IPRO,3,53.2,14.8,20.2,55.4,2.74,4.6,155.29,1,positive_final,B07,low
1,96R29 IPRO,4,66.2,16.27,38.67,96.0,2.54,4.4,159.66,1,positive_final,A12,low
1,74K75RSF CE,1,63.8,15.8,56.8,139.2,2.45,5.4,167.44,1,positive_final,C31,low
1,74K75RSF CE,2,65.8,13.8,73.6,180.6,2.45,5.0,158.3,1,positive_final,C31,low
1,74K75RSF CE,3,77.2,17.2,56.6,149.0,2.63,4.4,159.49,1,positive_final,B07,low
1,74K75RSF CE,4,68.93,15.6,62.33,156.27,2.51,4.93,158.3,1,positive_final,A12,low
1,FTR 3868 IPRO,1,69.2,17.2,47.6,121.2,2.55,4.8,153.93,1,positive_final,B07,low
1,FTR 3868 IPRO,2,71.8,16.2,44.2,111.6,2.52,4.6,157.7,1,positive_final,C31,low
1,FTR 3868 IPRO,3,67.0,15.8,61.6,152.4,2.47,5.8,138.32,1,negative_final,B07,low
1,FTR 3868 IPRO,4,69.33,16.4,51.13,128.4,2.52,5.07,138.68,1,positive_final,B07,low
1,GNS7700 IPRO,1,66.2,15.6,46.0,97.0,2.11,3.8,138.18,1,positive_final,B07,low
1,GNS7700 IPRO,2,69.6,12.6,38.4,97.8,2.55,4.0,135.7,1,positive_final,C31,low
1,GNS7700 IPRO,3,65.8,14.0,47.2,119.2,2.53,4.0,134.36,1,positive_final,C31,low
1,GNS7700 IPRO,4,67.2,14.07,43.87,104.67,2.39,3.93,139.74,1,positive_final,B07,low
1,ELISA IPRO,1,71.4,19.4,46.8,98.2,2.1,3.8,162.09,1,positive_final,A12,low
1,ELISA IPRO,2,78.0,16.6,42.8,83.0,1.94,4.0,157.75,1,negative_final,C31,low
1,ELISA IPRO,3,78.8,17.6,48.2,96.6,2.0,4.8,165.4,1,negative_final,C31,low
1,ELISA IPRO,4,76.07,17.87,45.93,92.6,2.01,4.2,173.0,1,positive_final,B07,low
1,79I81RSF IPRO,1,70.0,17.8,64.0,144.6,2.26,5.0,180.08,1,positive_final,B07,low
1,79I81RSF IPRO,2,68.6,15.2,77.6,179.4,2.31,5.0,175.76,1,positive_final,B07,low
1,79I81RSF IPRO,3,55.6,13.6,51.6,130.0,2.52,4.8,179.29,1,positive_final,C31,low
1,79I81RSF IPRO,4,64.73,15.53,64.4,151.33,2.36,4.93,184.67,1,positive_final,C31,low
1,NEO 790 IPRO,1,53.0,17.4,33.0,86.2,2.61,5.6,135.76,1,positive_final,C31,low
1,NEO 790 IPRO,2,55.2,18.0,34.8,78.8,2.26,5.0,147.81,1,positive_final,B07,low
1,NEO 790 IPRO,3,52.2,15.6,32.4,47.8,1.48,5.2,141.88,1,positive_final,C31,low
1,NEO 790 IPRO,4,53.47,17.0,33.4,70.93,2.12,5.27,152.68,1,positive_final,B07,low
1,PAULA IPRO,1,65.6,15.8,48.8,94.0,1.93,4.8,156.96,0,negative_final,A12,high
1,PAULA IPRO,2,72.2,17.2,48.4,90.4,1.87,3.6,158.45,0,negative_final,B07,high
1,PAULA IPRO,3,68.6,16.2,39.4,92.0,2.34,3.8,149.2,1,negative_final,C31,low
1,PAULA IPRO,4,68.8,16.4,45.53,92.13,2.04,4.07,148.87,0,negative_final,B07,high
1,FTR 3179 IPRO,1,61.0,13.4,75.6,170.6,2.26,5.0,131.79,1,positive_final,C31,low
1,FTR 3179 IPRO,2,66.6,15.0,60.0,130.8,2.18,4.8,135.47,1,positive_final,B07,low
1,FTR 3179 IPRO,3,63.8,14.4,81.6,176.4,2.16,5.0,131.97,1,positive_final,B07,low
1,FTR 3179 IPRO,4,63.8,14.27,72.4,159.27,2.2,4.93,129.05,1,positive_final,B07,low
1,LAT 1330BT,1,55.2,14.8,46.0,106.4,2.31,4.4,207.43,1,positive_final,B07,low
1,LAT 1330BT,2,55.0,10.8,51.2,118.6,2.32,3.4,202.79,1,positive_final,C31,low
1,LAT 1330BT,3,51.0,15.8,32.6,66.2,2.03,2.8,216.0,1,positive_final,B07,low
1,LAT 1330BT,4,53.73,13.8,43.27,97.07,2.22,3.53,195.2,1,positive_final,C31,low
1,FTR 4280 IPRO,1,70.0,17.6,50.6,97.6,1.93,4.0,160.84,0,positive_final,B07,low
1,FTR 4280 IPRO,2,65.2,16.8,61.4,112.4,1.83,5.2,155.94,1,positive_final,B07,low
1,FTR 4280 IPRO,3,63.0,17.0,48.2,87.4,1.81,4.4,159.9,1,positive_final,B07,low
1,FTR 4280 IPRO,4,66.07,17.13,53.4,99.13,1.86,4.53,157.55,1,positive_final,B07,low
1,ATAQUE I2X,1,71.2,16.4,42.2,61.0,1.45,3.6,130.45,1,positive_final,C31,low
1,ATAQUE I2X,2,69.2,17.0,54.4,130.8,2.4,3.8,141.36,1,positive_final,C31,low
1,ATAQUE I2X,3,67.4,16.8,36.8,91.6,2.49,2.8,142.13,1,negative_final,B07,low
1,ATAQUE I2X,4,69.27,16.73,44.47,94.47,2.11,3.4,140.28,1,positive_final,B07,low
1,SYN2282IPRO,1,56.2,13.2,43.6,98.2,2.25,2.8,183.46,1,positive_final,B07,low
1,SYN2282IPRO,2,59.6,15.4,51.6,122.6,2.38,3.6,171.56,1,positive_final,C31,low
1,SYN2282IPRO,3,59.4,14.6,35.2,77.6,2.2,3.8,172.79,1,positive_final,B07,low
1,SYN2282IPRO,4,58.4,14.4,43.47,99.47,2.28,3.4,181.22,0,positive_final,B07,low
1,82I78RSF IPRO,1,58.4,15.4,28.8,70.0,2.43,2.6,150.08,1,positive_final,C31,low
1,82I78RSF IPRO,2,61.4,15.2,48.8,123.8,2.54,4.2,148.17,1,positive_final,C31,low
1,82I78RSF IPRO,3,57.0,13.2,49.2,121.2,2.46,4.4,145.99,1,positive_final,B07,low
1,82I78RSF IPRO,4,58.93,14.6,42.27,105.0,2.48,3.73,145.5,1,positive_final,B07,low
1,M 8644 IPRO,1,66.8,20.4,33.0,78.2,2.37,4.0,157.85,1,positive_final,C31,low
1,M 8644 IPRO,2,70.4,16.8,41.0,81.2,1.98,2.8,151.24,1,positive_final,C31,low
1,M 8644 IPRO,3,68.6,14.8,65.4,61.4,0.94,3.4,146.44,1,positive_final,B07,low
1,M 8644 IPRO,4,68.6,17.33,46.47,73.6,1.76,3.4,148.86,1,positive_final,C31,low
1,MONSOY M8606I2X,1,63.4,14.4,63.6,150.6,2.37,2.2,162.9,1,positive_final,C31,low
1,MONSOY M8606I2X,2,66.4,14.6,56.6,129.6,2.29,2.6,161.98,0,negative_final,B07,high
1,MONSOY M8606I2X,3,67.8,13.4,48.4,116.6,2.41,2.6,147.2,1,positive_final,C31,low
1,MONSOY M8606I2X,4,65.87,14.13,56.2,132.27,2.36,2.47,155.75,0,negative_final,B07,high
1,NK 8770 IPRO,1,65.0,15.2,53.6,143.0,2.67,3.4,174.69,0,negative_final,A12,high
1,NK 8770 IPRO,2,58.4,14.6,32.0,87.6,2.74,3.2,174.37,1,negative_final,A12,high
1,NK 8770 IPRO,3,61.8,14.8,48.0,122.8,2.56,3.2,169.03,0,negative_final,A12,high
1,NK 8770 IPRO,4,61.73,14.87,44.53,117.8,2.65,3.27,179.82,0,negative_final,B07,high
1,FTR 4288 IPRO,1,63.6,14.8,52.2,117.8,2.26,4.2,151.9,0,negative_final,A12,high
1,FTR 4288 IPRO,2,63.4,16.4,35.0,79.4,2.27,3.8,152.01,0,negative_final,B07,high
1,FTR 4288 IPRO,3,60.4,15.4,44.6,131.2,2.94,3.6,150.72,0,negative_final,C31,high
1,FTR 4288 IPRO,4,62.47,15.53,43.93,109.47,2.49,3.87,153.59,0,negative_final,A12,high
1,FTR 3190 IPRO,1,64.6,13.4,33.4,70.4,2.11,2.8,157.09,0,negative_final,B07,high
1,FTR 3190 IPRO,2,67.2,13.4,39.0,59.4,1.52,2.8,157.14,0,negative_final,A12,high
1,FTR 3190 IPRO,3,70.2,12.8,35.6,81.0,2.28,2.8,159.08,0,negative_final,A12,high
1,FTR 3190 IPRO,4,67.33,13.2,36.0,70.27,1.97,2.8,155.24,0,negative_final,A12,high
2,NEO 760 CE,1,76.4,16.0,39.4,99.4,2.52,1.8,162.46,1,positive_final,C31,low
2,NEO 760 CE,2,80.6,14.6,70.0,174.0,2.49,3.0,169.6,1,positive_final,B07,low
2,NEO 760 CE,3,65.2,13.2,50.0,126.4,2.53,4.0,150.7,1,positive_final,B07,low
2,NEO 760 CE,4,74.07,14.6,53.13,133.27,2.51,2.93,161.52,0,positive_final,C31,low
2,MANU IPRO,1,76.4,16.0,39.4,99.4,2.52,1.8,165.59,1,negative_final,B07,low
2,MANU IPRO,2,80.6,14.6,70.0,174.0,2.49,3.0,169.38,1,positive_final,C31,low
2,MANU IPRO,3,65.2,13.2,50.0,126.4,2.53,4.0,165.17,1,positive_final,C31,low
2,MANU IPRO,4,74.07,14.6,53.13,133.27,2.51,2.93,162.17,1,positive_final,C31,low
2,77HO111I2X - GUAPORÉ,1,48.0,10.2,24.8,48.0,1.94,1.4,186.65,0,negative_final,A12,high
2,77HO111I2X - GUAPORÉ,2,47.6,8.2,32.6,70.0,2.15,1.6,186.05,0,negative_final,A12,high
2,77HO111I2X - GUAPORÉ,3,48.4,10.8,26.0,51.4,1.98,1.6,183.34,0,negative_final,C31,high
2,77HO111I2X - GUAPORÉ,4,48.0,9.73,27.8,56.47,2.02,1.53,180.22,0,negative_final,B07,high
2,NK 7777 IPRO,1,64.4,10.6,46.0,101.8,2.21,2.6,187.98,0,negative_final,B07,high
2,NK 7777 IPRO,2,73.0,10.8,44.0,96.0,2.18,2.2,196.12,0,negative_final,A12,high
2,NK 7777 IPRO,3,64.2,9.0,46.0,683.4,14.86,0.8,192.58,0,negative_final,A12,high
2,NK 7777 IPRO,4,67.2,10.13,45.33,293.73,6.42,1.87,187.95,1,negative_final,B07,high
2,GNS7900 IPRO - AMPLA,1,76.4,15.8,50.2,99.6,1.98,3.0,174.0,0,negative_final,B07,high
2,GNS7900 IPRO - AMPLA,2,81.6,20.2,49.4,102.2,2.07,1.6,185.41,0,negative_final,B07,high
2,GNS7900 IPRO - AMPLA,3,80.2,19.2,60.0,135.4,1.15,4.6,185.39,0,negative_final,B07,high
2,GNS7900 IPRO - AMPLA,4,79.4,18.4,53.2,112.4,1.73,3.07,183.4,0,negative_final,A12,high
2,LTT 7901 IPRO,1,77.0,18.2,56.6,169.6,3.0,4.4,179.43,0,negative_final,C31,high
2,LTT 7901 IPRO,2,73.4,15.8,58.8,140.0,2.38,3.0,174.39,0,negative_final,B07,high
2,LTT 7901 IPRO,3,83.8,15.4,44.0,134.0,3.05,2.6,169.32,0,negative_final,A12,high
2,LTT 7901 IPRO,4,78.07,16.47,53.13,147.87,2.81,3.33,171.97,0,negative_final,A12,high
2,BRASMAX BÔNUS IPRO,1,74.2,17.2,42.8,107.0,2.5,1.8,213.24,1,positive_final,C31,low
2,BRASMAX BÔNUS IPRO,2,78.2,9.8,43.2,67.2,1.56,2.4,206.95,1,positive_final,A12,low
2,BRASMAX BÔNUS IPRO,3,82.2,13.4,42.6,91.2,2.14,1.6,200.92,1,positive_final,C31,low
2,BRASMAX BÔNUS IPRO,4,78.2,13.47,42.87,88.47,2.07,1.93,209.8,1,positive_final,B07,low
2,97Y97 IPRO,1,77.8,17.0,49.8,86.6,1.74,4.0,172.2,1,positive_final,B07,low
2,97Y97 IPRO,2,77.2,17.4,42.2,95.0,2.25,2.8,173.8,1,positive_final,B07,low
2,97Y97 IPRO,3,79.2,17.6,43.4,78.8,1.82,4.2,193.33,1,positive_final,B07,low
2,97Y97 IPRO,4,78.07,17.33,45.13,86.8,1.94,3.67,176.2,1,positive_final,C31,low
2,BRASMAX OLIMPO IPRO,1,66.6,13.2,38.0,84.4,2.22,3.6,200.86,0,negative_final,B07,high
2,BRASMAX OLIMPO IPRO,2,75.4,15.0,45.0,113.4,2.52,3.0,194.93,0,negative_final,B07,high
2,BRASMAX OLIMPO IPRO,3,83.8,14.4,38.0,87.4,2.3,2.2,191.06,0,negative_final,B07,high
2,BRASMAX OLIMPO IPRO,4,75.27,14.2,40.33,95.07,2.35,2.93,191.75,0,negative_final,A12,high
2,LYNDA IPRO,1,68.0,17.4,48.6,115.6,2.38,4.0,198.28,1,positive_final,C31,low
2,LYNDA IPRO,2,62.6,13.2,43.2,77.2,1.79,3.6,204.0,1,positive_final,C31,low
2,LYNDA IPRO,3,60.4,13.4,47.0,80.4,1.71,3.8,193.68,1,negative_final,C31,low
2,LYNDA IPRO,4,63.67,14.67,46.27,91.07,1.96,3.8,201.86,1,positive_final,C31,low
2,NK 8100 IPRO,1,74.8,21.2,84.2,167.0,1.98,5.4,199.54,1,positive_final,B07,low
2,NK 8100 IPRO,2,71.6,14.4,110.0,180.0,2.35,9.0,196.21,1,positive_final,C31,low
2,NK 8100 IPRO,3,77.2,18.6,100.4,161.2,1.61,5.8,203.73,0,negative_final,B07,high
2,NK 8100 IPRO,4,74.53,18.07,98.2,169.4,1.98,6.73,199.71,1,positive_final,C31,low
2,82HO111 IPRO - HO COXIM IPRO,1,69.8,13.0,123.0,281.8,2.29,3.8,189.92,1,negative_final,C31,high
2,82HO111 IPRO - HO COXIM IPRO,2,66.8,15.4,100.0,102.2,1.55,5.0,197.06,0,negative_final,A12,high
2,82HO111 IPRO - HO COXIM IPRO,3,69.4,13.4,114.0,266.0,2.33,5.0,202.59,0,negative_final,A12,high
2,82HO111 IPRO - HO COXIM IPRO,4,68.67,13.93,112.33,216.67,2.06,4.6,201.31,0,negative_final,B07,high
2,83IX84RSF I2X,1,80.0,18.6,49.8,74.6,1.5,3.4,162.9,0,negative_final,A12,high
2,83IX84RSF I2X,2,83.6,17.8,45.0,64.0,1.42,3.6,170.42,0,negative_final,A12,high
2,83IX84RSF I2X,3,81.8,16.0,42.0,53.0,1.26,3.4,161.74,0,negative_final,B07,high
2,83IX84RSF I2X,4,81.8,17.47,45.6,63.87,1.39,3.47,164.87,0,negative_final,B07,high
2,ADAPTA LTT 8402 IPRO,1,58.6,9.8,55.6,117.6,2.12,3.2,180.93,1,positive_final,C31,low
2,ADAPTA LTT 8402 IPRO,2,58.2,9.8,55.4,129.2,2.33,2.4,179.21,1,positive_final,B07,low
2,ADAPTA LTT 8402 IPRO,3,61.6,11.8,48.0,123.8,2.58,3.2,181.4,1,negative_final,B07,low
2,ADAPTA LTT 8402 IPRO,4,59.47,10.47,53.0,123.53,2.34,2.93,173.3,1,positive_final,C31,low
2,98R30 CE,1,69.8,12.4,103.2,264.6,2.56,4.0,182.0,1,positive_final,C31,low
2,98R30 CE,2,75.8,14.4,85.2,214.6,2.52,3.4,184.42,1,positive_final,B07,low
2,98R30 CE,3,72.6,16.2,80.0,80.4,2.09,2.8,183.11,1,positive_final,C31,low
2,98R30 CE,4,72.73,14.33,89.47,186.53,2.39,3.4,175.96,1,positive_final,B07,low
2,FORTALEZA IPRO,1,62.8,13.2,42.0,88.4,2.1,3.6,137.6,0,negative_final,B07,high
2,FORTALEZA IPRO,2,70.0,12.6,58.0,137.8,2.38,4.2,127.76,1,positive_final,C31,low
2,FORTALEZA IPRO,3,65.4,12.2,57.4,108.4,1.89,5.6,130.46,1,positive_final,C31,low
2,FORTALEZA IPRO,4,66.07,12.67,52.47,111.53,2.12,4.47,132.81,0,negative_final,B07,high
2,MONSOY 8330I2X,1,59.4,12.2,56.8,138.6,2.44,3.6,148.42,1,positive_final,B07,low
2,MONSOY 8330I2X,2,61.4,11.6,56.2,115.6,2.06,4.2,158.09,0,negative_final,A12,high
2,MONSOY 8330I2X,3,61.4,10.8,72.0,159.0,2.21,3.8,158.53,1,negative_final,A12,high
2,MONSOY 8330I2X,4,60.73,11.53,61.67,137.73,2.24,3.87,158.78,0,negative_final,B07,high
2,SUZY IPRO,1,63.8,11.6,58.0,104.2,1.8,2.6,154.26,0,negative_final,C31,high
2,SUZY IPRO,2,74.2,16.8,57.4,99.6,1.74,4.0,149.29,0,negative_final,B07,high
2,SUZY IPRO,3,73.6,15.2,50.6,87.2,1.72,2.4,154.03,0,negative_final,A12,high
2,SUZY IPRO,4,70.53,14.53,55.33,97.0,1.75,3.0,155.77,0,negative_final,B07,high
2,TMG 22X83I2X,1,65.2,12.8,75.2,105.0,2.48,4.0,184.11,1,positive_final,C31,low
2,TMG 22X83I2X,2,66.2,11.2,53.0,86.0,1.62,3.2,184.17,1,positive_final,C31,low
2,TMG 22X83I2X,3,55.4,9.0,82.0,114.4,1.4,3.2,182.95,1,negative_final,C31,low
2,TMG 22X83I2X,4,62.27,11.0,70.07,101.8,1.83,3.47,183.13,0,negative_final,A12,high
2,EXPANDE LTT 8301 IPRO,1,62.0,10.2,58.0,132.0,2.28,3.4,186.24,0,negative_final,A12,high
2,EXPANDE LTT 8301 IPRO,2,68.4,14.4,67.2,151.0,2.25,3.4,182.05,0,negative_final,B07,high
2,EXPANDE LTT 8301 IPRO,3,67.0,17.4,58.0,125.6,2.17,3.4,180.33,1,negative_final,B07,high
2,EXPANDE LTT 8301 IPRO,4,65.8,14.0,61.07,136.2,2.23,3.4,189.46,0,negative_final,A12,high
2,FORTALECE L090183 RR,1,61.8,12.2,37.6,69.4,1.85,0.4,165.68,1,positive_final,C31,low
2,FORTALECE L090183 RR,2,63.0,16.8,45.8,112.4,2.45,2.0,157.15,1,positive_final,B07,low
2,FORTALECE L090183 RR,3,61.6,16.8,50.0,121.4,1.2,2.2,162.17,1,positive_final,B07,low
2,FORTALECE L090183 RR,4,62.13,15.27,44.47,101.07,1.83,1.53,158.04,0,negative_final,B07,high
2,96R29 IPRO,1,66.2,16.0,46.6,100.8,2.16,2.4,152.78,1,positive_final,C31,low
2,96R29 IPRO,2,59.2,16.0,34.4,88.2,2.56,3.0,164.61,1,positive_final,C31,low
