age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,final_outcome_flag,post_decision_status,risk_review_code,confirmed_result_code,case_resolution_type,followup_action_group,outcome_verification_score,workflow_bucket_id,service_path_code,review_priority_index,class
55,Private,323887,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,45,United-States,1,closed,route_f,type_4,group_n,B07,1.0,route_c,type_1,0.0,>50K
46,Private,175622,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.02112792803637472,route_f,type_1,0.0,<=50K
30,Private,229636,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.011007190263028887,<=50K
21,Private,388946,Some-college,10,Separated,Handlers-cleaners,Not-in-family,White,Female,0,0,40,United-States,0,pending,route_f,type_4,group_n,A12,0.030176104524402333,route_f,type_1,0.09049071515703516,<=50K
46,Private,269034,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,40,Dominican-Republic,0,pending,route_c,type_1,group_n,A12,0.022544135508653976,route_c,type_1,1.0,<=50K
17,,165361,10th,6,Never-married,,Own-child,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.07326129707092932,<=50K
41,Private,75012,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,0,pending,route_c,type_1,group_n,A12,1.0,route_c,type_4,1.0,<=50K
69,Self-emp-inc,174379,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,0,pending,route_c,type_1,group_n,B07,1.0,route_f,type_4,1.0,<=50K
50,Private,312477,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_x,B07,0.07040687325255766,route_c,type_1,1.0,<=50K
20,Private,72055,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0,pending,route_c,type_4,group_x,A12,0.0,route_c,type_1,0.18114750133972246,<=50K
45,Self-emp-inc,67001,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,0,pending,route_c,type_4,group_n,A12,0.0,route_f,type_4,0.0,<=50K
23,Private,213734,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,B07,0.0,route_f,type_4,0.0,<=50K
24,Private,83141,Some-college,10,Separated,Other-service,Not-in-family,White,Male,0,1876,40,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.1224946168626,<=50K
44,Self-emp-inc,223881,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,99999,0,50,,1,closed,route_f,type_4,group_x,B07,0.8304110211861815,route_f,type_4,0.6959640947678132,>50K
31,Self-emp-not-inc,113752,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0,pending,route_c,type_4,group_n,A12,0.2425065989974195,route_c,type_4,0.9580495923765029,<=50K
43,Private,170482,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,44,United-States,0,pending,route_c,type_1,group_n,B07,0.0,route_f,type_1,0.20896160982877654,<=50K
20,Federal-gov,244689,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,10,United-States,0,pending,route_c,type_4,group_n,A12,0.07490742861389225,route_f,type_1,0.01392340679786515,<=50K
55,Private,160631,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,United-States,1,closed,route_f,type_4,group_n,B07,0.1422036965081865,route_f,type_1,0.8418020216191532,>50K
24,Federal-gov,228724,Some-college,10,Never-married,Armed-Forces,Not-in-family,White,Male,0,0,40,United-States,0,pending,route_c,type_4,group_n,A12,0.0,route_c,type_4,0.6347994094359559,<=50K
41,,38434,Masters,14,Married-civ-spouse,,Wife,White,Female,7688,0,10,United-States,1,closed,route_f,type_1,group_x,B07,0.9888244852965496,route_f,type_4,0.8418409941009111,>50K
59,Private,292946,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,25,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.9227772316191845,<=50K
49,Federal-gov,77443,7th-8th,4,Never-married,Other-service,Not-in-family,Black,Male,0,0,20,United-States,0,pending,route_c,type_1,group_n,A12,0.8475736059915506,route_c,type_4,0.013051341049683546,<=50K
33,Private,176410,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,5178,0,10,United-States,1,closed,route_f,type_4,group_x,B07,0.7943287734183109,route_f,type_1,0.1015980719451489,>50K
59,Federal-gov,98984,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.0490561731833534,<=50K
34,Private,198751,Masters,14,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.0,<=50K
20,Private,479296,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,1.0,route_c,type_4,0.0,<=50K
25,Private,235218,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,1.0,route_f,type_1,1.0,<=50K
49,Private,164877,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,B07,0.0,route_c,type_1,0.0,<=50K
59,Private,272087,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,1,closed,route_f,type_4,group_x,A12,0.9305914778641441,route_f,type_1,1.0,>50K
20,Private,169699,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.21420203161667503,route_c,type_4,0.1256911174010963,<=50K
51,,189762,Some-college,10,Married-civ-spouse,,Wife,White,Female,0,0,18,United-States,0,closed,route_c,type_4,group_n,B07,0.09698715601523232,route_c,type_1,0.3122935652851932,<=50K
33,Private,202191,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,35,United-States,0,pending,route_c,type_4,group_n,A12,0.0,route_c,type_1,0.5231694195273948,<=50K
22,Private,212261,Some-college,10,Never-married,Transport-moving,Own-child,Black,Male,0,0,39,United-States,0,pending,route_c,type_4,group_n,B07,0.0,route_c,type_1,0.26005252265068524,<=50K
58,Self-emp-not-inc,301568,9th,5,Widowed,Other-service,Not-in-family,White,Female,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.274917991266313,route_c,type_1,0.10423094344914141,<=50K
52,Local-gov,155233,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,28,United-States,0,pending,route_c,type_1,group_n,A12,0.026314313881201687,route_c,type_4,0.7363024340106773,<=50K
36,Private,75826,10th,6,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,0.0,<=50K
41,Local-gov,201520,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,1.0,<=50K
28,Private,154236,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,2597,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,0.0,<=50K
19,Private,289227,Some-college,10,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,16,United-States,0,pending,route_c,type_4,group_n,B07,0.0,route_c,type_1,0.06714283909234817,<=50K
18,Private,217439,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,28,United-States,0,pending,route_c,type_1,group_x,B07,0.05704994525910969,route_c,type_1,0.0,<=50K
18,Private,179020,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,48,United-States,0,pending,route_c,type_1,group_n,B07,0.0,route_f,type_1,0.41860934501231734,<=50K
28,Private,149624,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.07283275056398349,route_c,type_4,0.0,<=50K
29,Private,337266,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1,closed,route_f,type_1,group_x,B07,1.0,route_f,type_4,0.9116307755844011,>50K
20,,30796,HS-grad,9,Never-married,,Own-child,White,Female,0,0,20,United-States,0,pending,route_c,type_1,group_x,B07,0.0,route_c,type_4,0.0,<=50K
40,Private,103541,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.0,<=50K
26,Private,206721,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.21220371540942215,<=50K
46,Private,96773,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_x,A12,0.0,route_c,type_1,0.0,<=50K
23,Private,200967,11th,7,Never-married,Other-service,Not-in-family,White,Female,0,0,24,United-States,0,pending,route_c,type_1,group_n,A12,0.048049289821523386,route_c,type_4,1.0,<=50K
44,Private,180019,HS-grad,9,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.018078497018438146,route_c,type_1,1.0,<=50K
43,Private,179866,Bachelors,13,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,1,closed,route_f,type_4,group_x,B07,0.8936996424750691,route_f,type_1,1.0,>50K
31,Local-gov,198770,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,60,United-States,0,pending,route_c,type_1,group_n,A12,0.15025294321830848,route_c,type_4,0.9181838631356096,<=50K
18,Private,219256,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,25,United-States,0,pending,route_c,type_4,group_n,A12,0.0,route_f,type_4,0.0,<=50K
19,Private,248730,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,30,United-States,0,pending,route_c,type_1,group_n,B07,0.0,route_c,type_4,0.8064753577116426,<=50K
41,Private,110732,Some-college,10,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,1.0,<=50K
41,Private,181020,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,0.05523496946366031,<=50K
69,Private,183791,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,0,pending,route_c,type_1,group_n,A12,0.7891198365069746,route_c,type_1,0.017640900536625644,<=50K
48,Federal-gov,42972,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,1,closed,route_f,type_4,group_x,B07,0.8827047423343913,route_c,type_4,1.0,>50K
28,Private,134813,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,B07,0.0,route_c,type_1,0.947707543592834,<=50K
27,Self-emp-not-inc,115438,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,Ireland,1,closed,route_f,type_1,group_x,B07,0.7663538373143548,route_f,type_4,1.0,>50K
41,Private,239296,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,50,United-States,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_4,1.0,>50K
41,Private,428420,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.8204982019237279,<=50K
24,Private,247846,HS-grad,9,Never-married,Craft-repair,Unmarried,Black,Female,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,1.0,<=50K
20,,334105,HS-grad,9,Never-married,,Not-in-family,White,Female,0,0,40,United-States,0,pending,route_c,type_4,group_n,A12,0.0,route_c,type_1,0.0,<=50K
42,Self-emp-inc,100793,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,41,United-States,1,closed,route_f,type_4,group_n,B07,0.9014351780406922,route_c,type_1,1.0,>50K
57,Private,244478,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,48,United-States,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.36807639757209604,<=50K
30,Private,142921,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0,pending,route_c,type_1,group_n,A12,0.02164037473359422,route_c,type_4,0.5174775288402756,<=50K
36,Private,182863,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,0.0,>50K
49,Private,171128,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,0,pending,route_c,type_1,group_n,B07,0.0,route_f,type_1,0.0,<=50K
33,Private,145402,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,35,United-States,0,pending,route_c,type_4,group_x,B07,0.0,route_c,type_1,0.04091821769066236,<=50K
23,Private,306309,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0,pending,route_c,type_4,group_n,A12,0.0,route_c,type_1,0.0,<=50K
46,Private,83822,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0,pending,route_c,type_1,group_x,A12,0.0,route_f,type_4,0.12875418637735578,<=50K
