gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,final_outcome_flag,post_decision_status,risk_review_code,confirmed_result_code,case_resolution_type,followup_action_group,outcome_verification_score,workflow_bucket_id,service_path_code,review_priority_index,Churn
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,pending,route_f,type_4,group_x,A12,0.9706986862980719,route_c,type_1,1.0,Yes
Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,0,pending,route_c,type_1,group_n,A12,0.038070123007337774,route_f,type_4,0.2182414797696076,No
Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,closed,route_f,type_1,group_x,A12,1.0,route_f,type_4,0.38062040797415525,Yes
Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,0,pending,route_c,type_1,group_n,A12,0.8027026469813767,route_c,type_1,1.0,No
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,closed,route_f,type_4,group_x,B07,0.9518201902382721,route_c,type_4,1.0,Yes
Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,0,pending,route_c,type_1,group_x,A12,0.030129303407508575,route_f,type_4,0.07163396474294746,No
Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,pending,route_c,type_1,group_n,A12,0.06707391189187813,route_f,type_1,0.0,No
Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.36929498011132833,No
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,closed,route_f,type_4,group_x,B07,0.9268652019439864,route_f,type_4,0.8250281647593384,Yes
Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,closed,route_f,type_4,group_x,B07,0.8231791294042141,route_f,type_1,0.7898304606810078,Yes
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,0,pending,route_c,type_1,group_n,A12,0.09974343883444652,route_c,type_4,0.777796555339245,No
Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,closed,route_f,type_4,group_n,B07,1.0,route_f,type_4,1.0,Yes
Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,0,pending,route_c,type_1,group_n,A12,0.1308084847608954,route_f,type_4,1.0,No
Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,pending,route_c,type_1,group_x,B07,0.0,route_c,type_4,0.09007495987268548,No
Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,0,pending,route_c,type_1,group_n,A12,0.016166607789984525,route_f,type_1,0.06338934113530507,No
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,pending,route_c,type_1,group_n,B07,0.0,route_f,type_1,0.0,No
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,pending,route_c,type_4,group_n,A12,0.006154480988107655,route_f,type_1,0.05495954332674656,No
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,0,pending,route_c,type_4,group_n,B07,0.3851327442521585,route_c,type_4,0.24971377790287907,No
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,closed,route_f,type_4,group_x,B07,0.11973311149526152,route_c,type_1,0.0,Yes
Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,0.0,No
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,closed,route_f,type_4,group_x,B07,0.0,route_f,type_1,1.0,Yes
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,closed,route_f,type_4,group_n,A12,0.9520241872187445,route_f,type_1,1.0,Yes
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0,pending,route_c,type_1,group_n,A12,0.016417834673120184,route_f,type_4,1.0,No
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,1.0,No
Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,pending,route_c,type_1,group_n,A12,0.04289052824165357,route_c,type_4,0.03249282024384125,No
Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.0,No
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0,pending,route_c,type_1,group_n,B07,0.0,route_f,type_1,1.0,No
Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,pending,route_c,type_4,group_n,A12,0.2652218850849633,route_c,type_1,1.0,No
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.0,No
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,closed,route_f,type_1,group_x,B07,1.0,route_f,type_4,0.9722233657524219,Yes
Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.5592246829171177,No
Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0,pending,route_c,type_4,group_n,A12,0.0,route_c,type_1,0.9433061774289608,No
Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,0.32354583360094363,No
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,0,closed,route_f,type_4,group_x,A12,1.0,route_c,type_4,0.9100017546916026,Yes
Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,pending,route_c,type_4,group_x,A12,0.0,route_f,type_4,0.7861411873600617,No
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_4,1.0,Yes
Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,pending,route_c,type_4,group_n,A12,0.04574083885770875,route_c,type_4,0.12453597316145427,No
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,closed,route_f,type_4,group_x,A12,1.0,route_c,type_1,1.0,Yes
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,closed,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.031562870629079004,No
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0,pending,route_c,type_1,group_n,A12,0.8805893127000841,route_c,type_4,0.0,No
Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0,pending,route_c,type_1,group_n,B07,1.0,route_f,type_1,0.0,No
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,pending,route_c,type_1,group_n,A12,0.17480403131094696,route_f,type_1,0.33642683565986253,No
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,pending,route_c,type_1,group_n,A12,0.026008532448870032,route_f,type_1,0.8609670380654806,No
Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,pending,route_c,type_1,group_n,B07,0.09799284205224837,route_f,type_4,0.27648162961016925,No
Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.0706911251890463,No
Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0,pending,route_c,type_1,group_n,A12,0.28793372156026575,route_f,type_4,0.0717695137622316,No
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_1,0.0,Yes
Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,pending,route_c,type_1,group_n,A12,0.2693990967228121,route_c,type_1,1.0,No
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0,pending,route_c,type_1,group_n,B07,0.0,route_f,type_4,0.9869336840385432,No
Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.6733381532024816,No
Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,pending,route_c,type_1,group_n,A12,1.0,route_c,type_1,0.008448774662137152,No
Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,pending,route_c,type_1,group_x,A12,1.0,route_c,type_1,0.9138119803489909,No
Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0,pending,route_c,type_1,group_n,B07,0.06860013610898086,route_f,type_1,0.053646977841953214,No
Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,pending,route_c,type_4,group_n,B07,0.0,route_c,type_4,0.0,No
Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,pending,route_c,type_4,group_n,A12,0.0,route_c,type_1,0.0,No
Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.019229072369884456,No
Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_4,0.9199472060474972,No
Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0,pending,route_c,type_1,group_n,A12,0.9750369839851419,route_f,type_1,0.0,No
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,0,pending,route_c,type_1,group_n,A12,0.9299020780120859,route_c,type_1,0.0,No
Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0,pending,route_c,type_1,group_x,A12,1.0,route_c,type_4,0.9883858522668718,No
Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,closed,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.1298096234580811,No
Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,1.0,No
Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,closed,route_f,type_1,group_x,A12,0.0,route_f,type_4,0.9253629931070932,Yes
Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0,pending,route_c,type_1,group_n,A12,0.28519342003345666,route_c,type_4,0.6675519004681754,No
Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_1,0.0,Yes
Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.0,No
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,pending,route_c,type_4,group_n,A12,0.05896719360540503,route_f,type_4,1.0,No
Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,pending,route_c,type_1,group_n,A12,0.982225426075246,route_c,type_4,0.1625204922151939,No
Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,pending,route_c,type_1,group_n,A12,1.0,route_c,type_1,1.0,No
Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0,pending,route_c,type_1,group_n,A12,0.1166971707819695,route_c,type_1,0.0,No
Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0,pending,route_c,type_1,group_n,A12,0.025640531397541216,route_c,type_4,0.26393256238680574,No
Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,0,pending,route_c,type_1,group_n,B07,1.0,route_c,type_1,1.0,No
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,pending,route_c,type_1,group_n,A12,0.19696147946977463,route_c,type_4,0.0,No
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0,pending,route_c,type_4,group_n,B07,1.0,route_c,type_1,0.32035937078872184,No
Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,0,pending,route_c,type_1,group_x,A12,0.02581609122861319,route_c,type_1,0.9671005534677586,No
Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,pending,route_c,type_1,group_n,A12,1.0,route_c,type_4,0.1904514282407945,No
Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,pending,route_c,type_1,group_x,A12,0.9250184576867906,route_c,type_1,0.09528743959239308,No
Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,closed,route_f,type_4,group_n,B07,0.8349664246328281,route_c,type_4,0.7387389446624661,Yes
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,0,pending,route_c,type_4,group_n,A12,0.08882790195706847,route_c,type_1,0.0,No
Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,closed,route_f,type_4,group_x,B07,0.16914784814625994,route_f,type_1,0.0,Yes
Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,0,pending,route_c,type_1,group_n,A12,0.05668800504300789,route_c,type_1,0.8432623111553925,No
Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,closed,route_f,type_1,group_x,B07,1.0,route_f,type_4,1.0,Yes
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,1.0,No
Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,0,pending,route_c,type_4,group_n,A12,0.9210042128270314,route_c,type_1,0.0,No
Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.0,No
Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.022301659800874715,No
Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_1,0.13596739877313851,Yes
Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,0.8731483061703235,No
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.9695221754407533,No
Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,0,pending,route_c,type_1,group_n,A12,0.0930750441036111,route_c,type_1,0.7460725585283334,No
Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,0,pending,route_c,type_1,group_n,A12,0.16007640234298262,route_c,type_1,0.0,No
Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,0,pending,route_c,type_1,group_x,B07,0.0,route_c,type_4,0.2288464521491521,No
Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,closed,route_f,type_4,group_x,B07,0.9368389958046655,route_f,type_1,1.0,Yes
Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,0,pending,route_c,type_4,group_n,A12,0.0,route_f,type_1,0.04160166473473881,No
Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,0.9341277695818553,No
Female,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,closed,route_f,type_4,group_x,B07,0.9492577465885979,route_c,type_1,0.9046335768252236,Yes
Female,0,Yes,Yes,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.24718434460138625,No
Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_4,0.0,No
Female,0,No,No,36,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,0,pending,route_c,type_1,group_n,A12,0.0046389303086633,route_c,type_1,0.46046122835059694,No
Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,1,closed,route_f,type_4,group_x,A12,0.861784740058196,route_c,type_4,0.016368165205870665,Yes
Female,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,835.15,0,pending,route_c,type_1,group_x,A12,0.0,route_c,type_4,0.0,No
Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,0,pending,route_c,type_1,group_x,A12,0.002591351644825617,route_f,type_1,1.0,No
