checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,final_outcome_flag,post_decision_status,risk_review_code,confirmed_result_code,case_resolution_type,followup_action_group,outcome_verification_score,workflow_bucket_id,service_path_code,review_priority_index,class
no checking,24,critical/other existing credit,radio/tv,2424,no known savings,>=7,4,male single,none,4,life insurance,53,none,own,2,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.99209392632573,route_f,type_4,0.7554756991237905,good
<0,30,no credits/all paid,business,8072,no known savings,<1,2,male single,none,3,car,25,bank,own,3,skilled,1,none,yes,1,closed,route_f,type_1,group_x,B07,0.9565741297916538,route_c,type_4,1.0,good
0<=X<200,24,existing paid,used car,12579,<100,>=7,4,female div/dep/mar,none,2,no known property,44,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,0,pending,route_c,type_1,group_x,A12,0.08378178261194992,route_c,type_4,0.2898044355434228,bad
no checking,24,existing paid,radio/tv,3430,500<=X<1000,>=7,3,male single,none,2,car,31,none,own,1,skilled,2,yes,yes,1,closed,route_f,type_4,group_x,B07,0.9603595140073794,route_c,type_1,0.0,good
no checking,9,critical/other existing credit,new car,2134,<100,1<=X<4,4,male single,none,4,car,48,none,own,3,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.647289592826654,route_f,type_1,1.0,good
<0,6,existing paid,radio/tv,2647,500<=X<1000,1<=X<4,2,male single,none,3,real estate,44,none,rent,1,skilled,2,none,yes,1,closed,route_f,type_4,group_x,B07,0.5941699736794042,route_f,type_4,0.48624382806149946,good
<0,10,critical/other existing credit,new car,2241,<100,<1,1,male single,none,3,real estate,48,none,rent,2,unskilled resident,2,none,no,1,closed,route_c,type_4,group_x,B07,0.16859593623763652,route_f,type_4,0.9189419573882435,good
0<=X<200,12,critical/other existing credit,used car,1804,100<=X<500,<1,3,male single,none,4,life insurance,44,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_1,0.3727044722291224,good
no checking,10,critical/other existing credit,furniture/equipment,2069,no known savings,1<=X<4,2,male mar/wid,none,1,car,26,none,own,2,skilled,1,none,no,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_1,0.9335143801761445,good
<0,6,existing paid,furniture/equipment,1374,<100,1<=X<4,1,male single,none,2,real estate,36,bank,own,1,unskilled resident,1,yes,yes,1,closed,route_f,type_1,group_x,B07,0.9976775071026115,route_f,type_1,1.0,good
no checking,6,no credits/all paid,radio/tv,426,<100,>=7,4,male mar/wid,none,4,car,39,none,own,1,unskilled resident,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.8287258887352794,route_f,type_4,1.0,good
>=200,12,all paid,radio/tv,409,>=1000,1<=X<4,3,female div/dep/mar,none,3,real estate,42,none,rent,2,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.0,route_f,type_4,0.6524141134027179,good
0<=X<200,7,existing paid,radio/tv,2415,<100,1<=X<4,3,male single,guarantor,2,real estate,34,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,1.0,good
<0,60,delayed previously,business,6836,<100,>=7,3,male single,none,4,no known property,63,none,own,2,skilled,1,yes,yes,0,pending,route_c,type_1,group_n,B07,0.0,route_c,type_4,1.0,bad
0<=X<200,18,existing paid,business,1913,>=1000,<1,3,male mar/wid,none,3,real estate,36,bank,own,1,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,A12,1.0,route_f,type_4,0.3771199970828698,good
<0,24,existing paid,furniture/equipment,4020,<100,1<=X<4,2,male single,none,2,car,27,stores,own,1,skilled,1,none,yes,1,closed,route_f,type_1,group_x,B07,1.0,route_f,type_4,0.7497624817229408,good
0<=X<200,18,existing paid,new car,5866,100<=X<500,1<=X<4,2,male single,none,2,car,30,none,own,2,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,A12,0.06337219284674854,route_f,type_4,0.9227382884188504,good
no checking,12,critical/other existing credit,business,1264,no known savings,>=7,4,male single,none,4,no known property,57,none,rent,1,unskilled resident,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.0,route_f,type_4,0.8120079523582179,good
>=200,12,existing paid,furniture/equipment,1474,<100,<1,4,female div/dep/mar,none,1,life insurance,33,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,1,closed,route_f,type_4,group_n,B07,0.8284168753521377,route_f,type_4,0.0,good
0<=X<200,45,critical/other existing credit,radio/tv,4746,<100,<1,4,male single,none,2,life insurance,25,none,own,2,unskilled resident,1,none,yes,0,pending,route_c,type_1,group_n,A12,0.2049024912406768,route_c,type_1,1.0,bad
no checking,48,critical/other existing credit,education,6110,<100,1<=X<4,1,male single,none,3,no known property,31,bank,for free,1,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_4,1.0,good
>=200,18,existing paid,radio/tv,2100,<100,1<=X<4,4,male single,co applicant,2,real estate,37,stores,own,1,skilled,1,none,yes,0,pending,route_c,type_4,group_n,A12,0.0,route_c,type_4,0.0,bad
>=200,10,existing paid,domestic appliance,1225,<100,1<=X<4,2,male single,none,2,car,37,none,own,1,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,0.8951362050186366,good
0<=X<200,9,existing paid,radio/tv,458,<100,1<=X<4,4,male single,none,3,real estate,24,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.922393222408933,route_f,type_4,0.8859465169185573,good
no checking,30,existing paid,radio/tv,2333,500<=X<1000,>=7,4,male single,none,2,car,30,bank,own,1,high qualif/self emp/mgmt,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_4,0.904054856574942,good
0<=X<200,12,existing paid,radio/tv,1158,500<=X<1000,1<=X<4,3,male div/sep,none,1,car,26,none,own,1,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.0,route_f,type_4,0.7439498177814239,good
0<=X<200,18,delayed previously,repairs,6204,<100,1<=X<4,2,male single,none,4,real estate,44,none,own,1,unskilled resident,2,yes,yes,1,closed,route_f,type_4,group_n,B07,1.0,route_f,type_4,0.0,good
<0,30,critical/other existing credit,used car,6187,100<=X<500,4<=X<7,1,male mar/wid,none,4,car,24,none,rent,2,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.9861655370495233,route_f,type_1,0.9272606449404407,good
<0,48,critical/other existing credit,used car,6143,<100,>=7,4,female div/dep/mar,none,4,no known property,58,stores,for free,2,unskilled resident,1,none,yes,0,closed,route_c,type_1,group_n,A12,0.15354111403400658,route_f,type_1,0.0,bad
no checking,11,critical/other existing credit,new car,1393,<100,<1,4,female div/dep/mar,none,4,car,35,none,own,2,high qualif/self emp/mgmt,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.9733494564359855,route_c,type_4,1.0,good
no checking,36,existing paid,radio/tv,2299,500<=X<1000,>=7,4,male single,none,4,car,39,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.9819535385861229,route_f,type_4,1.0,good
<0,6,existing paid,used car,1352,500<=X<1000,unemployed,1,female div/dep/mar,none,2,life insurance,23,none,rent,1,unemp/unskilled non res,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.0,route_c,type_4,0.0,good
no checking,11,critical/other existing credit,new car,7228,<100,1<=X<4,1,male single,none,4,life insurance,39,none,own,2,unskilled resident,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_1,0.0,good
no checking,12,existing paid,radio/tv,2073,100<=X<500,1<=X<4,4,female div/dep/mar,co applicant,2,real estate,28,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.8839512060919403,route_f,type_1,1.0,good
0<=X<200,24,delayed previously,furniture/equipment,2333,no known savings,<1,4,male single,none,2,life insurance,29,bank,own,1,unskilled resident,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.9355490355511022,route_f,type_1,1.0,good
0<=X<200,27,delayed previously,used car,5965,<100,>=7,1,male single,none,2,car,30,none,own,2,high qualif/self emp/mgmt,1,yes,yes,0,closed,route_c,type_1,group_x,B07,1.0,route_c,type_4,0.0,good
no checking,12,existing paid,radio/tv,1262,<100,1<=X<4,3,male single,none,2,car,25,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,0.8148243677658169,good
no checking,18,existing paid,used car,3378,no known savings,1<=X<4,2,male single,none,1,life insurance,31,none,own,1,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,A12,0.773942155421147,route_f,type_4,0.0,good
0<=X<200,36,delayed previously,new car,2225,<100,>=7,4,male single,none,4,no known property,57,bank,for free,2,skilled,1,yes,yes,0,pending,route_c,type_1,group_n,A12,0.9694182228228378,route_c,type_4,0.21405342284437842,bad
no checking,6,all paid,new car,783,no known savings,1<=X<4,1,male single,guarantor,2,real estate,26,stores,own,1,unskilled resident,2,none,yes,1,closed,route_f,type_4,group_x,B07,0.10536800397029203,route_c,type_4,0.9192978168359219,good
0<=X<200,12,existing paid,radio/tv,6468,no known savings,unemployed,2,male single,none,1,no known property,52,none,own,1,high qualif/self emp/mgmt,1,yes,yes,0,pending,route_c,type_1,group_n,A12,0.949870210425583,route_f,type_1,1.0,bad
no checking,36,critical/other existing credit,radio/tv,9566,<100,1<=X<4,2,female div/dep/mar,none,2,car,31,stores,own,2,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.9702230425667349,route_f,type_1,1.0,good
>=200,18,existing paid,new car,1961,<100,>=7,3,female div/dep/mar,none,2,car,23,none,own,1,high qualif/self emp/mgmt,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_1,0.9978808791521313,good
<0,36,critical/other existing credit,furniture/equipment,6229,<100,<1,4,female div/dep/mar,co applicant,4,no known property,23,none,rent,2,unskilled resident,1,yes,yes,0,pending,route_c,type_1,group_n,B07,0.0,route_f,type_1,0.14301536615585742,bad
0<=X<200,9,existing paid,business,1391,<100,1<=X<4,2,male mar/wid,none,1,real estate,27,bank,own,1,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.8634566959336424,route_f,type_4,0.1053852017333296,good
0<=X<200,15,critical/other existing credit,radio/tv,1537,no known savings,>=7,4,male single,guarantor,4,real estate,50,none,own,2,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.9951841386141351,route_c,type_1,0.0,good
0<=X<200,36,no credits/all paid,business,1953,<100,>=7,4,male single,none,4,no known property,61,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,0,pending,route_c,type_1,group_n,A12,0.13171469502578123,route_c,type_4,0.21448025067772641,bad
0<=X<200,48,no credits/all paid,business,14421,<100,1<=X<4,2,male single,none,2,car,25,none,own,1,skilled,1,yes,yes,0,pending,route_c,type_1,group_n,B07,0.0,route_f,type_4,0.0,bad
no checking,24,existing paid,radio/tv,3181,<100,<1,4,female div/dep/mar,none,4,life insurance,26,none,own,1,skilled,1,yes,yes,1,closed,route_f,type_4,group_n,B07,0.9503811496431291,route_f,type_1,1.0,good
no checking,27,existing paid,repairs,5190,no known savings,>=7,4,male single,none,4,life insurance,48,none,own,4,skilled,2,yes,yes,1,closed,route_f,type_4,group_x,B07,0.8169338495786023,route_f,type_1,0.8810411795451533,good
no checking,12,existing paid,radio/tv,2171,<100,<1,2,female div/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_4,0.9032115365914408,good
0<=X<200,12,existing paid,new car,1007,>=1000,1<=X<4,4,male mar/wid,none,1,real estate,22,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.987762537593981,route_f,type_4,0.0,good
no checking,36,existing paid,education,1819,<100,1<=X<4,4,male single,none,4,no known property,37,stores,for free,1,skilled,1,yes,yes,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.0,bad
no checking,36,existing paid,radio/tv,2394,no known savings,1<=X<4,4,female div/dep/mar,none,4,car,25,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.012225192018971003,route_c,type_4,0.9135802247284716,good
no checking,36,existing paid,used car,8133,<100,1<=X<4,1,female div/dep/mar,none,2,life insurance,30,bank,own,1,skilled,1,none,yes,1,closed,route_f,type_1,group_x,B07,0.8405229715263525,route_c,type_4,0.0,good
no checking,7,critical/other existing credit,radio/tv,730,no known savings,>=7,4,male single,none,2,life insurance,46,none,rent,2,unskilled resident,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.0,route_c,type_1,0.0,good
<0,8,critical/other existing credit,other,1164,<100,>=7,3,male single,none,4,no known property,51,bank,for free,2,high qualif/self emp/mgmt,2,yes,yes,1,closed,route_f,type_4,group_x,B07,0.0,route_f,type_1,0.8971352169585929,good
0<=X<200,42,critical/other existing credit,business,5954,<100,4<=X<7,2,female div/dep/mar,none,1,real estate,41,bank,own,2,unskilled resident,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.8586517510236444,route_c,type_1,1.0,good
<0,36,existing paid,education,1977,no known savings,>=7,4,male single,none,4,no known property,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,0,pending,route_c,type_1,group_x,A12,0.17984722987997434,route_c,type_1,0.08565359951725718,bad
<0,12,critical/other existing credit,used car,1526,<100,>=7,4,male single,none,4,no known property,66,none,for free,2,high qualif/self emp/mgmt,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.9028618211050561,route_c,type_4,0.0,good
<0,42,existing paid,radio/tv,3965,<100,<1,4,male single,none,3,car,34,none,own,1,skilled,1,none,yes,0,pending,route_c,type_1,group_n,A12,0.06177482875132095,route_c,type_1,0.0,bad
0<=X<200,11,delayed previously,radio/tv,4771,<100,4<=X<7,2,male single,none,4,life insurance,51,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,A12,0.8891900618558404,route_f,type_4,0.0,good
no checking,54,no credits/all paid,used car,9436,no known savings,1<=X<4,2,male single,none,2,life insurance,39,none,own,1,unskilled resident,2,none,yes,1,closed,route_f,type_4,group_x,B07,0.10063822131362654,route_f,type_4,0.3009062022813594,good
0<=X<200,30,existing paid,furniture/equipment,3832,<100,<1,2,male mar/wid,none,1,life insurance,22,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.8640441348766007,route_c,type_1,0.8334833022075705,good
no checking,24,existing paid,radio/tv,5943,no known savings,<1,1,female div/dep/mar,none,1,car,44,none,own,2,skilled,1,yes,yes,0,pending,route_c,type_1,group_n,A12,0.0051977004284327315,route_f,type_1,0.0,bad
no checking,15,existing paid,radio/tv,1213,500<=X<1000,>=7,4,male single,none,3,life insurance,47,stores,own,1,skilled,1,yes,yes,1,closed,route_f,type_1,group_x,B07,0.007002798557635717,route_f,type_4,0.771461709297527,good
no checking,18,existing paid,business,1568,100<=X<500,1<=X<4,3,female div/dep/mar,none,4,life insurance,24,none,rent,1,unskilled resident,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,0.6998870054141726,good
<0,24,existing paid,other,1755,<100,>=7,4,female div/dep/mar,guarantor,4,real estate,58,none,own,1,unskilled resident,1,yes,yes,1,closed,route_f,type_4,group_x,A12,0.08353135065737187,route_f,type_4,1.0,good
<0,10,existing paid,radio/tv,2315,<100,>=7,3,male single,none,4,real estate,52,none,own,1,unskilled resident,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.0,route_c,type_4,0.04108792454232501,good
no checking,12,critical/other existing credit,business,1412,<100,1<=X<4,4,female div/dep/mar,guarantor,2,real estate,29,none,own,2,high qualif/self emp/mgmt,1,yes,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_1,0.25975927519915876,good
0<=X<200,18,critical/other existing credit,furniture/equipment,1295,<100,<1,4,female div/dep/mar,none,1,life insurance,27,none,own,2,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,1.0,good
0<=X<200,36,existing paid,education,12612,100<=X<500,1<=X<4,1,male single,none,4,no known property,47,none,for free,1,skilled,2,yes,yes,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.48541613469269107,bad
<0,18,existing paid,new car,2249,100<=X<500,4<=X<7,4,male single,none,3,car,30,none,own,1,high qualif/self emp/mgmt,2,yes,yes,1,closed,route_f,type_4,group_n,B07,0.8883711293596437,route_f,type_4,0.9850407645729281,good
<0,12,no credits/all paid,repairs,1108,<100,4<=X<7,4,male single,none,3,real estate,28,none,own,2,skilled,1,none,yes,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_1,0.0,bad
no checking,12,critical/other existing credit,radio/tv,618,<100,>=7,4,male single,none,4,real estate,56,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_n,B07,0.0,route_c,type_4,0.0,good
<0,12,critical/other existing credit,used car,1409,<100,>=7,4,male single,none,3,real estate,54,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.0,route_f,type_4,0.1410570789139559,good
no checking,12,critical/other existing credit,radio/tv,797,no known savings,>=7,4,female div/dep/mar,none,3,life insurance,33,bank,own,1,unskilled resident,2,none,yes,0,pending,route_c,type_1,group_n,A12,0.0,route_c,type_1,0.024003183892883608,bad
>=200,24,critical/other existing credit,furniture/equipment,3617,no known savings,>=7,4,male single,co applicant,4,no known property,20,none,rent,2,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_4,0.13188142676466338,good
0<=X<200,12,existing paid,new car,1318,>=1000,>=7,4,male single,none,4,real estate,54,none,own,1,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.811504360701848,route_f,type_4,0.769327345604224,good
0<=X<200,54,no credits/all paid,business,15945,<100,<1,3,male single,none,4,no known property,58,none,rent,1,skilled,1,yes,yes,0,pending,route_c,type_4,group_n,A12,0.0,route_c,type_4,0.07119984827790668,bad
no checking,12,critical/other existing credit,education,2012,no known savings,4<=X<7,4,female div/dep/mar,none,2,car,61,none,own,1,skilled,1,none,yes,1,closed,route_f,type_1,group_x,B07,0.13857255340829247,route_c,type_4,1.0,good
0<=X<200,18,existing paid,business,2622,100<=X<500,1<=X<4,4,male single,none,4,car,34,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.9960005064281745,route_f,type_4,1.0,good
0<=X<200,36,critical/other existing credit,radio/tv,2337,<100,>=7,4,male single,none,4,real estate,36,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.8702302728853831,route_f,type_4,0.0,good
0<=X<200,20,delayed previously,used car,7057,no known savings,4<=X<7,3,male single,none,4,life insurance,36,bank,rent,2,high qualif/self emp/mgmt,2,yes,yes,1,closed,route_f,type_4,group_x,B07,0.0,route_f,type_4,0.24083824133206316,good
no checking,24,existing paid,new car,1469,100<=X<500,>=7,4,male mar/wid,none,4,real estate,41,none,rent,1,unskilled resident,1,none,yes,1,pending,route_f,type_4,group_x,B07,0.9695251065263188,route_f,type_4,0.4151872847430473,good
0<=X<200,36,existing paid,radio/tv,2323,<100,4<=X<7,4,male single,none,4,car,24,none,rent,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.8996935825248132,route_f,type_4,0.0,good
no checking,6,delayed previously,radio/tv,932,<100,1<=X<4,3,female div/dep/mar,none,2,real estate,24,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,A12,1.0,route_c,type_1,0.145889905867574,good
0<=X<200,9,critical/other existing credit,furniture/equipment,1919,<100,4<=X<7,4,male single,none,3,car,35,none,rent,1,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.8143077229265462,route_f,type_4,0.0,good
no checking,12,existing paid,used car,2445,no known savings,<1,2,male mar/wid,none,4,car,26,none,rent,1,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_f,type_4,0.13539351477019781,good
0<=X<200,24,critical/other existing credit,other,11938,<100,1<=X<4,2,male single,co applicant,3,car,39,none,own,2,high qualif/self emp/mgmt,2,yes,yes,0,pending,route_c,type_1,group_x,A12,0.015310311819291565,route_c,type_4,0.6212936901502947,bad
no checking,18,all paid,new car,6458,<100,>=7,2,male single,none,4,no known property,39,bank,own,2,high qualif/self emp/mgmt,2,yes,yes,0,pending,route_c,type_1,group_n,A12,0.025153322251703206,route_c,type_1,0.0,bad
0<=X<200,12,existing paid,new car,6078,<100,4<=X<7,2,male single,none,2,car,32,none,own,1,skilled,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.19094267311680224,route_f,type_1,0.0,good
<0,24,existing paid,furniture/equipment,7721,no known savings,<1,1,female div/dep/mar,none,2,life insurance,30,none,own,1,skilled,1,yes,no,1,closed,route_f,type_4,group_x,B07,0.9419920964657278,route_f,type_4,0.9563386722727473,good
0<=X<200,14,existing paid,business,1410,500<=X<1000,>=7,1,male mar/wid,none,2,real estate,35,none,own,1,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.9038292879478478,route_f,type_1,1.0,good
0<=X<200,6,delayed previously,business,1449,100<=X<500,>=7,1,male div/sep,none,2,car,31,bank,own,2,skilled,2,none,yes,1,closed,route_f,type_4,group_x,B07,0.0,route_f,type_4,0.0,good
>=200,15,existing paid,education,392,<100,<1,4,female div/dep/mar,none,4,life insurance,23,none,rent,1,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.9744902295381683,route_f,type_4,0.9272053628730832,good
0<=X<200,18,existing paid,new car,6260,<100,4<=X<7,3,male single,none,3,real estate,28,none,rent,1,unskilled resident,1,none,yes,1,closed,route_f,type_4,group_x,B07,0.987947151440149,route_f,type_4,0.8960428243147485,good
no checking,36,critical/other existing credit,new car,7855,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,25,stores,own,2,skilled,1,yes,yes,0,pending,route_c,type_1,group_n,A12,0.0,route_f,type_4,0.32016235848405455,bad
<0,12,existing paid,radio/tv,1680,500<=X<1000,>=7,3,male mar/wid,none,1,real estate,35,none,own,1,skilled,1,none,yes,1,closed,route_c,type_4,group_x,A12,0.7319412039731197,route_f,type_4,0.08743160408968274,good
no checking,48,critical/other existing credit,radio/tv,3578,no known savings,>=7,4,male single,none,1,real estate,47,none,own,1,skilled,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.9256769073835275,route_f,type_4,0.761613534562132,good
<0,42,existing paid,radio/tv,7174,no known savings,4<=X<7,4,female div/dep/mar,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,0,pending,route_c,type_1,group_n,A12,0.047676900783012906,route_f,type_1,0.0,bad
<0,10,critical/other existing credit,furniture/equipment,2132,no known savings,<1,2,female div/dep/mar,co applicant,3,real estate,27,none,rent,2,skilled,1,none,no,1,closed,route_f,type_4,group_x,B07,0.018054225578587723,route_f,type_1,1.0,good
<0,33,critical/other existing credit,furniture/equipment,4281,500<=X<1000,1<=X<4,1,female div/dep/mar,none,4,car,23,none,own,2,skilled,1,none,yes,0,pending,route_c,type_1,group_n,B07,0.15894096725192208,route_f,type_4,1.0,bad
0<=X<200,12,critical/other existing credit,new car,2366,500<=X<1000,4<=X<7,3,male div/sep,none,3,car,36,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1,closed,route_f,type_4,group_x,B07,0.259101967075202,route_c,type_4,0.0,good
<0,21,existing paid,radio/tv,1835,<100,1<=X<4,3,female div/dep/mar,none,2,real estate,25,none,own,2,skilled,1,yes,yes,0,pending,route_c,type_1,group_n,A12,1.0,route_f,type_1,0.0,bad
no checking,24,critical/other existing credit,used car,3868,<100,>=7,4,female div/dep/mar,none,2,car,41,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,1,closed,route_f,type_4,group_x,B07,1.0,route_c,type_1,0.0,good
